Benchmark,Mode,Threads,Samples,Score,"Score Error (99,9%)",Unit,Param: arg
stringvsstringbuffervsstringbuilder.BenchmarkArrays.stringBuffer,avgt,1,5,"0,00002","0,000001",ms/op,1
stringvsstringbuffervsstringbuilder.BenchmarkArrays.stringBuffer,avgt,1,5,"0,000036","0,000002",ms/op,10
stringvsstringbuffervsstringbuilder.BenchmarkArrays.stringBuffer,avgt,1,5,"0,000072","0,000002",ms/op,25
stringvsstringbuffervsstringbuilder.BenchmarkArrays.stringBuffer,avgt,1,5,"0,000103","0,000053",ms/op,50
stringvsstringbuffervsstringbuilder.BenchmarkArrays.stringBuffer,avgt,1,5,"0,000167","0,00001",ms/op,100
stringvsstringbuffervsstringbuilder.BenchmarkArrays.stringBuffer,avgt,1,5,"0,000367","0,000002",ms/op,250
stringvsstringbuffervsstringbuilder.BenchmarkArrays.stringBuffer,avgt,1,5,"0,000703","0,000015",ms/op,500
stringvsstringbuffervsstringbuilder.BenchmarkArrays.stringBuffer,avgt,1,5,"0,001376","0,000008",ms/op,1000
stringvsstringbuffervsstringbuilder.BenchmarkArrays.stringBuffer,avgt,1,5,"0,004076","0,000862",ms/op,2500
stringvsstringbuffervsstringbuilder.BenchmarkArrays.stringBuffer,avgt,1,5,"0,012824","0,000108",ms/op,5000
stringvsstringbuffervsstringbuilder.BenchmarkArrays.stringBuffer,avgt,1,5,"0,026024","0,000321",ms/op,10000
stringvsstringbuffervsstringbuilder.BenchmarkArrays.stringBuffer,avgt,1,5,"0,063824","0,002499",ms/op,25000
stringvsstringbuffervsstringbuilder.BenchmarkArrays.stringBuffer,avgt,1,5,"0,128056","0,00388",ms/op,50000
stringvsstringbuffervsstringbuilder.BenchmarkArrays.stringBuffer,avgt,1,5,"0,28798","0,235765",ms/op,100000
stringvsstringbuffervsstringbuilder.BenchmarkArrays.stringBuilder,avgt,1,5,"0,000018","0,000002",ms/op,1
stringvsstringbuffervsstringbuilder.BenchmarkArrays.stringBuilder,avgt,1,5,"0,000031","0,000001",ms/op,10
stringvsstringbuffervsstringbuilder.BenchmarkArrays.stringBuilder,avgt,1,5,"0,000056","0,000003",ms/op,25
stringvsstringbuffervsstringbuilder.BenchmarkArrays.stringBuilder,avgt,1,5,"0,000107","0,000001",ms/op,50
stringvsstringbuffervsstringbuilder.BenchmarkArrays.stringBuilder,avgt,1,5,"0,000189","0,000003",ms/op,100
stringvsstringbuffervsstringbuilder.BenchmarkArrays.stringBuilder,avgt,1,5,"0,000427","0,000004",ms/op,250
stringvsstringbuffervsstringbuilder.BenchmarkArrays.stringBuilder,avgt,1,5,"0,00081","0,000007",ms/op,500
stringvsstringbuffervsstringbuilder.BenchmarkArrays.stringBuilder,avgt,1,5,"0,001615","0,000039",ms/op,1000
stringvsstringbuffervsstringbuilder.BenchmarkArrays.stringBuilder,avgt,1,5,"0,004514","0,000356",ms/op,2500
stringvsstringbuffervsstringbuilder.BenchmarkArrays.stringBuilder,avgt,1,5,"0,00917","0,000055",ms/op,5000
stringvsstringbuffervsstringbuilder.BenchmarkArrays.stringBuilder,avgt,1,5,"0,018196","0,000533",ms/op,10000
stringvsstringbuffervsstringbuilder.BenchmarkArrays.stringBuilder,avgt,1,5,"0,044694","0,0037",ms/op,25000
stringvsstringbuffervsstringbuilder.BenchmarkArrays.stringBuilder,avgt,1,5,"0,08909","0,001537",ms/op,50000
stringvsstringbuffervsstringbuilder.BenchmarkArrays.stringBuilder,avgt,1,5,"0,19278","0,026465",ms/op,100000
stringvsstringbuffervsstringbuilder.BenchmarkArrays.stringClass,avgt,1,5,"0,000003",0,ms/op,1
stringvsstringbuffervsstringbuilder.BenchmarkArrays.stringClass,avgt,1,5,"0,000091",0,ms/op,10
stringvsstringbuffervsstringbuilder.BenchmarkArrays.stringClass,avgt,1,5,"0,000251","0,000008",ms/op,25
stringvsstringbuffervsstringbuilder.BenchmarkArrays.stringClass,avgt,1,5,"0,000582","0,000091",ms/op,50
stringvsstringbuffervsstringbuilder.BenchmarkArrays.stringClass,avgt,1,5,"0,001249","0,000068",ms/op,100
stringvsstringbuffervsstringbuilder.BenchmarkArrays.stringClass,avgt,1,5,"0,005316","0,000036",ms/op,250
stringvsstringbuffervsstringbuilder.BenchmarkArrays.stringClass,avgt,1,5,"0,018352","0,000097",ms/op,500
stringvsstringbuffervsstringbuilder.BenchmarkArrays.stringClass,avgt,1,5,"0,068173","0,003996",ms/op,1000
stringvsstringbuffervsstringbuilder.BenchmarkArrays.stringClass,avgt,1,5,"0,399172","0,001814",ms/op,2500
stringvsstringbuffervsstringbuilder.BenchmarkArrays.stringClass,avgt,1,5,"1,569418","0,00918",ms/op,5000
stringvsstringbuffervsstringbuilder.BenchmarkArrays.stringClass,avgt,1,5,"6,174031","0,016922",ms/op,10000
stringvsstringbuffervsstringbuilder.BenchmarkArrays.stringClass,avgt,1,5,"38,400121","0,284275",ms/op,25000
stringvsstringbuffervsstringbuilder.BenchmarkArrays.stringClass,avgt,1,5,"149,431354","0,386424",ms/op,50000
stringvsstringbuffervsstringbuilder.BenchmarkArrays.stringClass,avgt,1,5,"512,522264","2,282687",ms/op,100000
